id_ctzc;ecld_chefe_fmla;prfr_eqpt_csmr_menos_ee;dslg_tv_qund_n_esta_usdo;evita_eqpt_sb;porta_jnla_fcdo_usar_arcd;dslg_arcd_qund_fora_abte;evita_longo_banho_ce;usa_ce_posc_verao_ecnz_ee;evita_gldr_abta;n_guad_almt_qent_e_dstd_gldr;rglr_tmtt_gldr_cfrm_etac;n_seca_roupa_gldr;mntm_brch_gldr_bom_estd;usar_mdl_smnt_qund_cpcd_maxm;acml_roupa_pssr;dslg_fp_qund_encr_svco;usar_tmpr_idca_tcdo_fp;prfr_lmpd_led_frct;evita_ligar_lmpd_drte_dia;dslg_lmpd_abte_dcpd;elmn_pblm_itlc_eltc;rcbe_info_ecnz_ee;gtra_rcbr_info_ecnz_ee
1;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Raramente;Raramente;Sempre;Sempre;Sim;
2;Médio completo/Superior incompleto;Sempre;Sempre;Nunca;Sempre;Normalmente;;;Nunca;Nunca;Nunca;Nunca;Nunca;Sempre;Raramente;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Não
3;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Nunca;Nunca;Nunca;Nunca;Raramente;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
4;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Normalmente;Sim;
5;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;Sempre;Sempre;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
6;Fundamental completo/Médio incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Sempre;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Não;Sim
7;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Normalmente;Normalmente;Raramente;Nunca;Raramente;Normalmente;Sempre;Sempre;Nunca;Sempre;Normalmente;Normalmente;Sempre;Não;Sim
8;Médio completo/Superior incompleto;Sempre;Sempre;Raramente;Raramente;Raramente;;;Raramente;Nunca;Nunca;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sim;
9;Fundamental I completo / Fundamental II incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Sempre;Não;Sim
10;Analfabeto / Fundamental I incompleto;Sempre;Sempre;Sempre;;;;;Sempre;Sempre;Sempre;Nunca;Sempre;Sempre;Sempre;Normalmente;Sempre;Sempre;Normalmente;Normalmente;Normalmente;Não;Sim
