id_dmcl;qt_banr;qt_atmv;qt_moto;tipo_fonte_agua;tipo_pvmt_rua;nu_mrdr;tipo_dmcl;cor_pdmn_prde_extn;ornt_mria_jnla;jnla_vras_prde;ar_dmcl_m2;mtrl_pdmn_prde_extn;mtrl_pdmn_tlhd;orig_ee_dmcl;fonte_prop_gerc_ee;tipo_atvd_dmcl
1;3;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Casa;Escuro;Não foi possível obter a informação;Sim;;Alvenaria sem revestimento externo;Outro material;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
2;5;4;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;7;Casa;Médio;Não foi possível obter a informação;Sim;;Alvenaria com revestimento externo;Outro material;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
3;2;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;3;Casa;Claro;Não foi possível obter a informação;Sim;;Alvenaria com revestimento externo;Outro material;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
4;1;2;1;Rede geral de distribuicao;Asfaltada ou Pavimentada;7;Casa;Médio;Norte;Sim;;Alvenaria sem revestimento externo;Laje de concreto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
5;3;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;5;Casa;Médio;Leste;Sim;;Alvenaria com revestimento externo;Telha de barro;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
6;2;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;5;Casa;Claro;Leste;Sim;11.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
7;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Casa;Escuro;Norte;Não;16.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
8;1;0;1;Rede geral de distribuicao;Asfaltada ou Pavimentada;5;Casa;Médio;Leste;Não;22.0;Alvenaria sem revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
9;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;6;Casa;Escuro;Norte;Não;30.0;Madeira;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
10;1;0;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;1;Casa;Claro;Norte;Sim;10.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
11;1;1;0;Rede geral de distribuicao;Asfaltada ou Pavimentada;2;Casa;Médio;Norte;Não;80.0;Alvenaria com revestimento externo;Telha de amianto;Rede geral de distribuição (Concessionária de Energia Elétrica);;Exclusivamente residencial
