id_etdc;nm_etdc
1;Refrigerador
2;Freezer
3;Ar-condicionado
4;Televisor
5;Micro-ondas
6;Máquina de Lavar Roupas
7;Batedeira
8;Cafeteira Elétrica
9;Sanduicheira elétrica (grill)
10;Espremedor de frutas
11;Liquidificador
12;Multiprocessador
13;Panela elétrica
14;Triturador de lixo
15;Faca elétrica
16;Ebulidor
17;Fogão elétrico (Cooktop)
18;Fritadeira elétrica com óleo
19;Fritadeira elétrica sem óleo
20;Enceradeira
21;Aspirador de pó
22;Panificadora (máquina de pão)
23;DVD/Video/Blu-Ray
24;Tablet
25;Celular
26;Telefone sem fio
27;Fax
28;Modem para internet com função Roteador Wi-Fi (pertence ao provedor de internet)
29;Roteador sem Fio (WI-FI) (pertence ao morador)
30;Impressora
31;Receptor de TV por assinatura
32;Conversor digital externo para TV aberta
33;Receptor digital
34;No Break
35;Serra elétrica
36;Máquina de solda
37;Furadeira
38;Portão Eletrônico
39;Projetores (Iluminação de jardim)
40;Lava jato alta pressão (máquina)
41;Filtro de Piscina
42;Bomba d'água
43;Máquina de costura
44;Chapinha (prancha alisadora)
45;Secador de cabelo
46;"Forno elétrico ""forninho"""
47;Máquina de lavar louças
48;Ferro elétrico a seco
49;Ferro elétrico a vapor (usando vapor)
50;Ferro elétrico a vapor (não usando vapor)
51;Secadora de roupas (por aquecimento)
52;Secadora de roupas centrífuga
53;Aquecedor de ambiente
54;Ventilador de teto
55;Ventilador ou Circulador de ar
56;Videogame
57;Notebook
58;Aparelho de som/rádio (ligados na tomada quando utilizados)
59;Computador
60;Bebedouro / purificador / filtro
61;Adega
62;Chuveiro Elétrico
